"","SEXO","EDAD","NACIO","RAMA","T_UNIV","DISCA","LUG_RES_PAIS","PAIS_NAC_PADRE","ESTUDIOS_PADRE","PAIS_NAC_MADRE","ESTUDIOS_MADRE","BECA","EXTRANJERO","MOTIVO","VOLVERIA","MISMA_CARRERA","OTRO_GRADO","MASTER","DOCTORADO","EST_ARTIST","CICLO_SUP","CICLO_MED","OTROS_EST","NUM_EST","IDIOMAS","TECH","MV_ESP","MV_FUE","SIT_LABORAL","SIT_PROFESIONAL","TR_SUELDO","FORMAC_TR","RAMA_TR","USO_ESTUD_TR","F_TEOR_TR","F_PRAC_TR","F_IDIOM_TR","F_TECH_TR","F_PERSON_TR","F_GEST_TR","OTRO_TRAB","EST_CIVIL","HOGAR","EMPLEADO_PRODUCTIVO"
"23","M","3_>=35","E","CCSS","PuP","No","E","E","3_PC","E","4_S","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","No","No","E","TP","5_2000-2499","3","Si","Si","5","4","4","2","4","3","No","2_C","4_PcH","Si"
"24","M","3_>=35","E","CCSS","PuP","No","E","E","2_PI","E","3_PC","No","No","P","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","No","No","E","TP","3_1000-1499","3","Si","Si","5","5","1","4","5","5","Si","2_C","4_PcH","Si"
"25","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","5_B","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","No","No","E","TT","2_700-999","3","Si","Si","3","4","5","4","5","4","Si","1_S","2_ScH","Si"
"26","M","1_<30","E","CCSS","PuP","No","E","E","8_U","E","4_S","Si","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","2","2_M","No","No","E","TP","4_1500-1999","3","Si","Si","5","5","3","4","5","4","No","1_S","4_PcH","Si"
"27","M","1_<30","E","CCSS","PuP","No","E","E","5_B","E","4_S","No","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","No","No","E","TT","5_2000-2499","3","Si","Si","3","5","3","3","5","3","No","1_S","4_PcH","Si"
"28","M","2_30-34","E","CCSS","PuV","No","E","E","4_S","E","6_PM","Si","Si","P","Si","Si","Si","No","No","No","No","No","Si","1","2","2_M","No","Si","E","TP","4_1500-1999","3","Si","Si","4","5","3","4","5","5","Si","1_S","4_PcH","Si"
"29","M","2_30-34","E","CCSS","PuV","No","E","E","3_PC","E","3_PC","No","No","P","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","No","No","E","TP","2_700-999","4","Si","No","3","3","2","3","5","4","No","2_C","4_PcH","No"
"30","M","2_30-34","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","Si","Si","L","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","Si","Si","E","TT","3_1000-1499","4","No","No","4","5","4","2","4","5","Si","1_S","4_PcH","No"
"31","M","3_>=35","E","CCSS","PuV","No","E","E","8_U","E","3_PC","No","No","L","Si","No","Si","No","No","No","No","No","Si","1","1","1_B","No","Si","I","D","0_D","0","D","D","0","0","0","0","0","0","D","2_C","4_PcH","No"
"32","M","3_>=35","E","CCSS","PuP","No","E","E","6_PM","E","7_PS","No","No","P","Si","Si","Si","No","No","No","No","No","Si","2","1","1_B","No","No","D","D","0_D","0","D","D","0","0","0","0","0","0","D","2_C","4_PcH","No"
